Cluster,,household_ID,Cluster,label
0,1349,ID1350,0,high
0,1354,ID1355,0,normal
0,1364,ID1365,0,normal
0,1366,ID1367,0,normal
0,1367,ID1368,0,normal
0,1374,ID1375,0,normal
0,1388,ID1389,0,normal
0,1411,ID1412,0,normal
0,1420,ID1421,0,normal
0,1421,ID1422,0,normal
0,1423,ID1424,0,normal
0,1433,ID1434,0,normal
0,1435,ID1436,0,normal
0,1443,ID1444,0,normal
0,1445,ID1446,0,low
0,1447,ID1448,0,normal
0,1448,ID1449,0,normal
0,1456,ID1457,0,normal
0,1459,ID1460,0,normal
0,1465,ID1466,0,normal
0,1466,ID1467,0,low
0,1487,ID1488,0,normal
0,1492,ID1493,0,normal
0,1494,ID1495,0,normal
0,1498,ID1499,0,high
0,1504,ID1505,0,normal
0,1505,ID1506,0,normal
0,1512,ID1513,0,normal
0,1513,ID1514,0,normal
0,1521,ID1522,0,normal
0,1522,ID1523,0,normal
0,1523,ID1524,0,normal
0,1530,ID1531,0,normal
0,1532,ID1533,0,normal
0,1541,ID1542,0,normal
0,1544,ID1545,0,normal
0,1546,ID1547,0,normal
0,1549,ID1550,0,normal
0,1553,ID1554,0,normal
0,1564,ID1565,0,high
0,1567,ID1568,0,normal
0,1571,ID1572,0,normal
0,1581,ID1582,0,normal
0,1583,ID1584,0,normal
0,1586,ID1587,0,normal
0,1608,ID1609,0,normal
0,1615,ID1616,0,normal
0,1624,ID1625,0,high
0,1634,ID1635,0,normal
0,1647,ID1648,0,normal
0,1653,ID1654,0,normal
0,1655,ID1656,0,normal
0,1658,ID1659,0,high
0,1659,ID1660,0,normal
0,1667,ID1668,0,normal
0,1687,ID1688,0,high
0,1692,ID1693,0,normal
0,1695,ID1696,0,normal
0,1702,ID1703,0,normal
0,1703,ID1704,0,normal
0,1720,ID1721,0,high
0,1727,ID1728,0,normal
0,1732,ID1733,0,normal
0,1734,ID1735,0,low
0,1741,ID1742,0,normal
0,1746,ID1747,0,high
0,1749,ID1750,0,normal
0,1751,ID1752,0,normal
0,1759,ID1760,0,normal
0,1775,ID1776,0,normal
0,1785,ID1786,0,low
0,1790,ID1791,0,normal
0,1792,ID1793,0,normal
0,1794,ID1795,0,normal
0,1802,ID1803,0,normal
0,1810,ID1811,0,normal
0,1824,ID1825,0,normal
0,1827,ID1828,0,high
0,1829,ID1830,0,normal
0,1832,ID1833,0,normal
0,1838,ID1839,0,normal
0,1843,ID1844,0,normal
0,1852,ID1853,0,normal
0,1854,ID1855,0,normal
0,1864,ID1865,0,normal
0,1865,ID1866,0,normal
0,1866,ID1867,0,normal
0,1871,ID1872,0,high
0,1881,ID1882,0,normal
0,1887,ID1888,0,normal
0,1889,ID1890,0,normal
0,1902,ID1903,0,normal
0,1909,ID1910,0,normal
0,1911,ID1912,0,normal
0,1922,ID1923,0,normal
0,1927,ID1928,0,normal
